volume_id,layer_id,module_id,raw_id,cx,cy,cz,rot_xu,rot_xv,rot_rot_xw,rot_yu,module_t,module_minhu,module_maxhu,module_hv,pitch_u,pitch_v
2,1,9,303046693,2.3633,2.23099,18.8625,0.686458,-0.72717,1.22465e-16,1.28593e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,9,303046694,2.3633,2.23099,16.6575,0.686458,-0.72717,1.22465e-16,1.28593e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,1,303050757,0.758887,2.64322,-16.6575,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,1,303050758,0.758887,2.64322,-18.8625,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,2,303050761,0.758887,2.64322,-12.2175,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,2,303050762,0.758887,2.64322,-14.4225,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,3,303050765,0.758887,2.64322,-7.7775,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,3,303050766,0.758887,2.64322,-9.9825,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,4,303050769,0.758887,2.64322,-3.3375,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,4,303050770,0.758887,2.64322,-5.5425,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,5,303050773,0.758887,2.64322,1.1025,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,5,303050774,0.758887,2.64322,-1.1025,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,6,303050777,0.758887,2.64322,5.5425,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,6,303050778,0.758887,2.64322,3.3375,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,7,303050781,0.758887,2.64322,9.9825,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,7,303050782,0.758887,2.64322,7.7775,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,8,303050785,0.758887,2.64322,14.4225,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,8,303050786,0.758887,2.64322,12.2175,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,9,303050789,0.758887,2.64322,18.8625,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,9,303050790,0.758887,2.64322,16.6575,-0.961169,0.275959,1.22465e-16,-7.33317e-17,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,1,303054853,-0.693563,3.42796,-16.6575,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,1,303054854,-0.693563,3.42796,-18.8625,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,2,303054857,-0.693563,3.42796,-12.2175,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,2,303054858,-0.693563,3.42796,-14.4225,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,3,303054861,-0.693563,3.42796,-7.7775,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,3,303054862,-0.693563,3.42796,-9.9825,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,4,303054865,-0.693563,3.42796,-3.3375,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,4,303054866,-0.693563,3.42796,-5.5425,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,5,303054869,-0.693563,3.42796,1.1025,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,5,303054870,-0.693563,3.42796,-1.1025,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,6,303054873,-0.693563,3.42796,5.5425,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,6,303054874,-0.693563,3.42796,3.3375,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,7,303054877,-0.693563,3.42796,9.9825,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,7,303054878,-0.693563,3.42796,7.7775,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,8,303054881,-0.693563,3.42796,14.4225,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,8,303054882,-0.693563,3.42796,12.2175,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,9,303054885,-0.693563,3.42796,18.8625,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,9,303054886,-0.693563,3.42796,16.6575,0.883406,0.468608,5.66554e-16,4.71803e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,1,303058949,-1.82073,2.06093,-16.6575,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,1,303058950,-1.82073,2.06093,-18.8625,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,2,303058953,-1.82073,2.06093,-12.2175,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,2,303058954,-1.82073,2.06093,-14.4225,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,3,303058957,-1.82073,2.06093,-7.7775,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,3,303058958,-1.82073,2.06093,-9.9825,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
2,1,4,303058961,-1.82073,2.06093,-3.3375,-0.74943,-0.662084,-1.22465e-16,-1.61705e-16,0.0075,-0.84,0.84,1.08,0.0025,0.01
